time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443770006784,14,21473.76,,0.234375,108,0
443770007040,14,21473.76,,0.1875,107,0
443770007296,14,21473.76,,0.125,107,0
443770007552,13,21473.76,,0.171875,107,0
443770007808,13,21473.76,,0.08203125,111,0
443770008064,13,21473.76,,0.03125,113,0
443770008320,13,21008.96,,0.03515625,113,0
443770008576,13,21008.96,,0.05859375,114,0
443770008832,13,21008.96,,0.07421875,114,0
443770009088,13,19734.079999999998,,0.11328125,115,0
443770009344,13,19734.079999999998,,0.1484375,116,0
443770009600,13,19734.079999999998,,0.12890625,116,0
443770009856,14,19734.079999999998,,0.1171875,115,0
443770010112,14,19734.079999999998,,0.125,116,0
443770010368,14,19734.079999999998,,0.1953125,118,0
443770010624,13,19734.079999999998,,0.1796875,120,0
443770010880,13,21394.079999999998,,0.03515625,121,0
443770011136,13,21394.079999999998,,0.05859375,120,0
443770011392,12,21394.079999999998,,0.18359375,119,0
443770011648,12,21394.079999999998,,0.125,118,0
443770011904,12,21394.079999999998,,0.08203125,118,0
443770012160,12,21394.079999999998,,0.12890625,118,0
443770012416,12,21394.079999999998,,0.11328125,118,0
443770012672,12,21394.079999999998,,0.1328125,117,0
443770012928,12,19282.559999999998,,0.03125,115,0
443770013184,11,19282.559999999998,,0.20703125,115,0
443770013440,11,19282.559999999998,,0.18359375,118,0
443770013696,11,18963.84,,0.171875,120,0
443770013952,11,18963.84,,0.09765625,122,0
443770014208,11,18963.84,,0.12109375,123,0
443770014464,11,18963.84,,0.11328125,124,0
443770014720,11,18963.84,,0.11328125,125,0
443770014976,11,21022.239999999998,,0.0703125,125,0
443770015232,11,21022.239999999998,,0.046875,124,0
443770015488,11,21022.239999999998,,0.046875,122,0
443770015744,11,21022.239999999998,,0.0234375,121,0
443770016000,11,21022.239999999998,,0.02734375,120,0
443770016256,11,21022.239999999998,,0.078125,119,0
443770016512,11,21022.239999999998,,0.15234375,118,0
443770016768,11,21022.239999999998,,0.09375,118,0
443770017024,11,21022.239999999998,,0.15625,118,0
443770017280,11,19787.2,,0.14453125,117,0
443770017536,10,19787.2,,0.13671875,116,0
443770017792,10,19787.2,,0.1484375,115,0
443770018048,10,20942.559999999998,,0.38671875,115,0
443770018304,11,20942.559999999998,,0.1640625,114,0
443770018560,11,22443.2,,0.19921875,114,0
443770018816,11,22443.2,,0.21484375,113,0
443770019072,11,22443.2,,0.19140625,112,0
443770019328,12,23332.96,,0.1171875,113,0
443770019584,12,23332.96,,0.203125,115,0
443770019840,13,23332.96,,0.28125,117,0
443770020096,13,25125.76,,0.1953125,119,0
443770020352,14,25125.76,,0.15625,121,0
