time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443770022144,4,8180.48,,0.0,88,0
443770022400,4,8180.48,,0.0,87,0
443770022656,4,8180.48,,0.0,86,0
443770022912,4,8180.48,,0.0,86,0
443770023168,4,8485.92,,0.0,86,0
443770023424,4,8485.92,,0.0,86,0
443770023680,4,8485.92,,0.0546875,85,0
443770023936,4,8485.92,,0.10546875,84,0
443770024192,4,8485.92,,0.1953125,84,0
443770024448,4,8485.92,,0.12890625,84,0
443770024704,4,8485.92,,0.19140625,85,0
443770024960,4,8485.92,,0.109375,85,0
443770025216,4,8485.92,,0.1015625,84,0
443770025472,4,8485.92,,0.015625,83,0
443770025728,4,9641.279999999999,,0.0,83,0
443770025984,4,9641.279999999999,,0.0,83,0
443770026240,4,9641.279999999999,,0.0,82,0
443770026496,4,9641.279999999999,,0.0,82,0
443770026752,4,9641.279999999999,,0.0,83,0
443770027008,5,9203.039999999999,,0.0,83,0
443770027264,5,9203.039999999999,,0.0,83,0
443770027520,5,9203.039999999999,,0.0,82,0
443770027776,5,9203.039999999999,,0.0,81,0
443770028032,5,9203.039999999999,,0.0234375,81,0
443770028288,5,9203.039999999999,,0.02734375,81,0
443770028544,5,9203.039999999999,,0.0390625,79,0
443770028800,5,9203.039999999999,,0.02734375,78,0
443770029056,5,9203.039999999999,,0.03125,77,0
443770029312,5,9203.039999999999,,0.0,77,0
443770029568,5,9203.039999999999,,0.0,76,0
443770029824,5,9203.039999999999,,0.0,75,0
443770030080,5,9203.039999999999,,0.0,74,0
443770030336,5,9203.039999999999,,0.0,74,0
443770030592,5,9203.039999999999,,0.0,74,0
443770030848,5,9203.039999999999,,0.0,74,0
443770031104,5,9203.039999999999,,0.0,73,0
443770031360,5,9203.039999999999,,0.01953125,72,0
443770031616,5,9203.039999999999,,0.03125,72,0
443770031872,5,9203.039999999999,,0.0,71,0
443770032128,5,9203.039999999999,,0.0,70,0
443770032384,5,9203.039999999999,,0.0,69,0
443770032640,5,9203.039999999999,,0.0,68,0
443770032896,5,9203.039999999999,,0.0,68,0
443770033152,5,9203.039999999999,,0.0,68,0
443770033408,5,10451.359999999999,,0.0,67,0
443770033664,5,10451.359999999999,,0.0625,67,0
443770033920,5,10451.359999999999,,0.07421875,68,0
443770034176,5,10451.359999999999,,0.1640625,68,0
443770034432,5,10451.359999999999,,0.14453125,68,0
443770034688,5,10451.359999999999,,0.15625,68,0
443770034944,5,10451.359999999999,,0.203125,68,0
443770035200,5,10451.359999999999,,0.1484375,69,0
443770035456,5,10451.359999999999,,0.12890625,70,0
443770035712,5,10451.359999999999,,0.19921875,71,0
443770035968,5,10451.359999999999,,0.16015625,72,0
443770036224,5,10451.359999999999,,0.15625,75,0
443770036480,5,10690.4,,0.1875,76,0
443770036736,5,10690.4,,0.15625,79,33
443770036992,5,10690.4,,0.171875,80,44
443770037248,5,10690.4,,0.02734375,82,0
443770037504,5,11739.519999999999,,0.0,84,0
